actual_label,selected_modality
15,all
17,text
10,text
14,text
2,text_video
2,text
28,text
24,text
15,all
0,text
14,text
22,text
3,text
28,text
24,text
10,all
2,text
3,text
18,text
11,all
10,all
0,all
1,text
17,text
3,text
1,text_video
13,text
9,all
21,all
25,text_video
24,text
14,text
24,text
17,audio
9,text
9,text
17,audio
17,text
1,all
17,text
10,text
17,audio
14,all
5,text
10,text
12,all
24,text
27,all
10,text
17,audio
3,text
16,all
6,all
12,text
15,text
14,text
9,audio_video
14,text
9,audio_video
19,text
28,text
19,all
10,text
9,text
10,all
2,text
2,all
10,all
18,all
10,text
17,audio
17,text
10,all
17,text
17,text
12,text
12,all
14,text
27,all
12,text
27,all
17,text
22,all
7,all
22,text
2,text
22,text
22,text_video
18,all
18,all
16,text
27,all
12,all
27,text
9,text_video
5,text
2,all
21,all
18,all
12,text
10,text
1,all
27,all
9,audio_video
22,text
18,all
20,all
5,text
1,all
22,text
23,text
23,all
2,all
20,all
16,text
16,text
14,text
5,text
14,all
14,all
28,text
12,text_video
28,text
28,text
6,text
24,text
24,text
2,text
24,all
24,text
28,text
14,all
21,text
14,text
14,text
8,all
2,all
14,text
28,text
28,text
24,text_video
3,text
14,text
2,text_video
10,all
22,text
18,text_video
22,text
24,text
22,text
4,all
27,text
27,text_video
9,text
9,text
2,text_video
14,text
5,all
2,all
2,text
17,audio
8,text
21,all
25,all
10,text
14,text
18,text
24,text
11,text
22,all
17,audio
3,all
28,text
17,text
13,all
14,text
14,text
10,text
14,text_video
1,text
10,all
8,text
8,all
28,text
23,text
9,all
9,text_video
22,text
17,text
24,all
19,text
28,text
9,audio_video
24,all
25,text
23,text
23,text
24,all
3,text
17,audio
7,all
2,all
9,text_video
27,all
27,text
1,text
22,text
14,text_video
14,text
14,text
9,text
2,text
21,text
7,text
7,text
24,text
12,text
14,text
22,text
7,text
20,all
1,text
9,text
9,audio_video
13,all
17,text
2,text
4,all
17,audio
17,text
17,audio
9,text
16,text
7,text_video
28,text
5,text_video
10,text
3,text
17,audio
27,all
27,text_video
28,text
17,audio
17,audio
13,all
17,text
17,audio
28,text
14,text_video
12,text
14,all
14,text_video
14,text
27,all
22,text
22,text
7,all
23,all
22,text_video
27,all
7,text
17,text
5,all
16,text_video
16,text_audio
10,all
10,all
14,text
14,all
21,all
24,text_audio
28,text
24,text
1,all
2,all
17,text
17,text
17,text
17,audio
4,text
28,text
28,text
17,audio
16,text
17,text
17,text
17,text
17,text
17,text
17,text
21,all
10,text
17,audio
10,all
10,text
15,all
27,text
27,all
13,all
1,text
1,text
24,all
1,all
17,audio
17,text
17,text
17,audio
17,text
17,audio
12,text
3,text
10,text
0,text
17,text
11,all
24,text
22,text
11,all
11,text
17,text
17,audio
0,text
9,text
5,all
12,text
0,text
24,text
24,text_audio
18,text
16,text
24,text
8,all
28,text
7,text
14,all
14,all
14,text
2,text
3,text
21,text
17,text
23,text_video
11,text
14,text
14,text_video
17,text
17,text
17,audio
17,audio
17,text
14,text
0,all
0,text
1,text
0,text
1,text
0,text
15,all
9,audio_video
9,text_video
9,text_video
1,text
10,all
8,all
27,text_video
12,all
14,text
9,all
14,all
15,text
3,text
27,text
0,text
0,text
1,all
23,text_video
8,all
0,text
5,all
0,text
4,all
23,all
24,text
28,text
0,text
10,text_video
14,all
12,text
10,text
28,text
0,text
24,text
4,all
0,text
9,text
25,text
13,all
4,all
5,text
1,all
27,all
23,text
4,all
23,text
4,text
17,text
10,all
17,audio
29,all
27,all
16,text
16,all
7,all
17,text
24,text
28,text
17,audio
17,audio
14,text
17,audio
8,text
24,text
24,text
24,text
22,text
22,text
11,text
11,all
11,text
11,text
14,all
9,text
22,text
22,all
12,all
12,text_video
0,text
17,text
5,text
14,text_video
8,text_video
2,all
17,text
17,audio
3,text
17,audio
20,all
9,text
14,text_video
28,text
27,all
8,text_video
24,text
1,text_video
16,text
14,text
0,all
16,audio
10,text
28,text
21,all
20,all
16,text
2,text
24,text
29,all
8,all
24,text
16,text
17,text
22,all
18,all
1,all
1,text
2,text
12,text
18,all
25,text
17,text
16,text
18,text
17,text
17,text
4,all
4,all
24,text
29,all
9,text
14,text
0,all
20,all
14,text
22,text
12,all
22,text
12,text
17,text
17,audio
18,all
24,text
22,text
28,text
24,text
12,all
27,text_video
22,all
12,text
25,text
25,text
24,text
18,all
18,all
18,all
1,all
27,all
22,all
2,text
29,all
20,all
14,text
17,audio
14,text
22,text
14,text
1,all
1,all
15,text
22,text
27,all
22,text
21,all
18,all
22,text
24,text
12,text
14,text
20,all
1,text
1,all
17,audio
17,text
22,text
23,text
22,text_video
17,text
16,text
10,all
10,text
14,text
26,text
0,all
1,all
17,text
4,all
11,all
2,all
29,text
9,audio_video
14,text
18,all
28,text
19,all
17,text
23,all
20,text_video
15,all
20,all
17,audio
23,all
24,text
24,all
10,text
14,all
28,text
0,text
1,text_video
10,all
14,text_video
9,all
17,text
28,text
24,text
17,text
20,all
14,text
1,text
1,text
1,text
1,all
1,text
17,text
4,text
3,text
14,text
14,text
3,text
25,text
1,all
10,text_video
13,all
22,text
4,text_video
5,text
1,text
9,text_video
9,all
11,text
24,all
9,text
0,text
8,all
28,text
10,text
0,all
25,text
0,text
1,text
1,text
23,all
9,all
9,all
1,all
0,text
24,text
10,text
24,text
1,all
23,all
3,text
3,text
9,text
0,text
9,audio_video
27,all
27,all
13,text
11,all
11,text
12,text
11,text
22,all
21,all
1,all
1,text_video
10,all
22,text_video
17,audio
17,text
12,all
22,text
17,text
12,text
18,text
17,audio
17,text
25,all
8,text
8,all
17,text
16,text
16,text
14,all
26,text
4,all
21,all
3,text
22,text
14,text
14,text_video
10,text
24,text
24,all
15,all
14,text
12,all
22,text
14,text
17,text
17,text
17,text
17,audio
3,text
12,text
0,text
21,all
17,text
16,text
7,all
13,all
1,text
1,all
24,text
22,text
14,all
1,text
14,all
3,text
14,all
7,text_video
0,text
22,text
28,text
16,text
17,text
24,text
7,all
17,audio
10,all
10,all
14,text_video
17,audio
17,audio
11,all
17,audio
1,all
17,text
20,all
24,text
17,audio
17,text
17,text
17,audio
17,audio
17,audio
17,audio
25,text_video
18,text
18,all
24,text
5,text
26,all
11,all
4,text
11,text
14,text
8,text
8,all
17,audio
14,text
18,all
19,text_video
5,text_video
4,text_video
9,audio_video
12,all
24,text
22,all
22,text
27,all
8,all
17,audio
28,text
17,audio
17,text
12,text
5,text
10,text
21,all
5,text
2,text
9,audio_video
7,text
9,text
26,all
14,all
14,text
3,text
1,text
1,all
9,text
22,text
3,text
11,text
17,text
17,text
17,text
17,audio
17,audio
17,audio
17,audio
25,text
27,all
17,audio
11,all
1,text
22,text
12,text
16,text
16,text
17,text
28,text
24,all
21,text
9,text
14,text
27,text_video
14,text
22,text
0,text
15,all
0,text
4,text
28,text
18,all
12,all
26,text
14,all
14,text
3,text
17,text
17,text
2,text
20,all
25,text
4,text
14,text_video
1,text
21,all
17,text
16,text
24,text
24,all
29,all
14,text
2,text
26,all
27,all
17,text
12,text
13,all
9,text_video
28,text
17,text
10,text
14,all
12,text
14,all
22,text
23,text
23,all
23,text
17,audio
10,text
17,text
7,text
1,text
22,all
12,text
7,text_video
17,text
24,text
2,text_video
19,all
1,text_video
10,all
22,text
10,text
21,text
21,all
10,text
9,text_video
7,all
9,text
5,all
2,all
14,text
21,all
0,text
20,all
3,all
7,text
1,all
24,text
7,all
14,all
9,text
9,audio_video
3,text
9,audio_video
16,text
24,text
18,text
22,all
7,all
4,text
10,text
5,all
8,all
8,text
17,text
7,all
17,audio
0,text
10,text
2,text_video
2,text
17,text
17,text
1,text_video
17,text
14,text
28,text
0,text
18,text
17,text
4,text
4,text
15,all
14,all
26,text
2,text
4,text
12,all
22,all
22,all
18,text
20,all
15,all
3,text
14,text
14,all
14,text
22,text_video
22,text
11,text
0,text
9,audio_video
1,all
1,text
4,text
14,all
14,text
28,text
2,text
5,text
17,audio
18,text
22,all
24,text
28,text
25,all
3,text
0,all
24,text
10,text
0,text
1,text_video
2,all
23,text
1,all
2,all
14,all
8,text
14,text
0,all
16,text
17,audio
0,all
22,text
8,text_video
22,text
26,all
22,all
10,all
8,text
8,all
18,all
22,text_video
7,text_video
3,text
16,text
23,text
4,text_video
8,text
16,text
22,text
17,text
9,all
24,text
4,text_video
23,text_video
22,text
10,all
14,text
9,all
11,text
14,all
3,all
24,text
9,text
5,text
3,text
12,text_video
4,text
14,text_video
2,text
17,text
7,all
6,all
16,text
8,text
1,all
15,all
16,text
7,text
17,text
25,text
11,all
25,all
17,audio
18,text
18,text_audio
17,audio
2,all
5,text
17,audio
17,audio
29,text
9,text
9,all
12,text
22,all
14,text
17,text
17,text
2,all
22,text
17,text
17,text
24,text
1,all
22,all
11,text_video
22,text
27,all
18,all
5,text_video
12,all
22,text
24,text
0,all
3,text
17,text
9,text
2,all
3,text
14,text_video
17,text
17,audio
4,text
14,text
17,text
17,text
17,text_video
25,text
22,text
15,all
27,all
14,all
16,text
15,all
1,text
0,text
13,all
24,text
9,audio_video
8,text
27,text_video
1,text
17,text
17,audio
28,text
17,text
17,audio
28,text
15,all
11,text
11,text
18,text
4,text
14,all
3,text
14,all
28,text
24,text
19,all
10,text
6,text
18,text
24,text
7,all
20,all
18,text_audio
16,text
10,text
8,text
5,text
10,all
0,all
13,all
21,text
15,text
2,all
9,audio_video
12,text
20,all
6,text
20,all
4,text
22,all
14,text
9,text
12,text
12,all
27,all
6,all
22,text
27,all
14,text_video
18,all
8,text
4,text
4,text
4,all
4,text
9,all
4,text
17,audio
11,text
12,text
19,all
17,audio
22,text
21,all
24,text_video
6,text_video
22,text
17,audio
17,audio
12,text
8,all
2,text
9,audio_video
14,all
8,text_video
1,all
1,all
14,text
14,all
22,all
12,text
22,all
14,all
14,text
22,all
14,all
14,all
6,text
1,text
2,all
1,text
4,text
0,text
22,all
22,text
1,text
1,text
20,text
17,audio
12,text
6,text
1,all
0,all
