actual_label,selected_modality
14,text
12,text
4,audio_video
13,all
10,text
1,text
17,text
11,text
0,text
0,text
12,text
10,text
3,text
3,text
15,text_audio
2,text
6,all
0,audio
11,text
17,text
14,audio
2,text
0,text_audio
13,text
3,text
4,text_audio
0,text
2,text
0,audio
17,text
8,all
14,text
12,text
0,all
0,text
12,text
9,all
9,all
13,text
15,text
15,text
3,text
6,all
1,text
15,text
8,all
14,all
11,text
4,text
12,text
1,all
2,text
1,video
3,text
9,text
14,text
14,text
12,text
3,all
3,text
2,text
4,text
0,video
1,text
18,text
10,text
12,all
15,text
2,text
13,text
8,text
15,text
14,all
10,text
16,all
14,text
16,text
18,text
10,text
1,text
4,audio
11,text
13,text
10,all
8,text_video
4,all
18,text
16,text_audio
10,text
2,all
0,text
2,text
0,all
0,text
18,text
5,text
3,text
5,text
12,audio
0,text
11,text
0,text
11,text
2,text
0,text
9,all
0,video
14,text
12,text
1,text
12,text
9,all
4,text
12,text
17,all
0,audio
13,text
17,text
3,text
19,text_audio
15,text
16,text
12,text
1,text
12,audio
13,all
8,text
3,text
12,text
1,text
2,text
16,all
1,text
7,all
12,text
12,text
10,all
12,audio
13,text
0,text
3,text
7,text
4,all
19,text
18,video
16,text
14,text
2,text
3,text
12,all
3,text
14,text
11,text_video
2,text
11,text
0,text_audio
13,text
0,text
12,video
1,text
16,text
12,text
15,text
5,text
6,all
15,text
0,audio
7,text
10,text
3,text
4,text
8,all
12,text
12,text
4,text
3,text
13,text
1,text
1,text
1,text
12,text
2,text
6,all
19,all
15,all
5,text
0,text
0,text
1,text
12,text
5,text
11,text
11,text
7,all
11,text
1,text
2,text
13,text
14,all
0,audio
2,text
1,text_audio
14,text
1,text
0,text
9,audio
1,text
12,text
12,text
19,text
12,video
2,text
6,text_video
0,text
12,all
1,text
12,text
13,text
15,text
9,text
4,all
18,text
12,text
4,text
14,all
1,text_audio
15,all
12,text
1,text
15,all
10,all
12,text
14,text
0,text
10,audio
16,text
10,text
3,text
1,text
14,text
15,text_audio
0,audio
16,text
15,text
0,text
13,text
12,text
16,text
4,all
10,all
17,text
1,text
4,text
19,all
2,text
17,all
1,text
9,all
4,text
18,all
8,all
11,text
16,text
15,text
0,video
15,text
2,text
3,text
7,all
5,text
0,text
12,all
1,audio_video
16,text
5,text
8,text
12,video
1,text
12,text
3,text
12,text
3,text
11,text
1,text
12,text
1,text
11,all
12,text
8,text
14,text
3,text
5,text
7,all
18,text
13,all
13,audio
0,video
14,audio
0,text
3,text
4,all
0,video
17,text
12,text
1,text
12,text
0,audio
10,text
4,text
5,text
14,text
1,text
10,text
1,text
9,text
17,text
11,text
12,text
18,all
13,video
1,text
15,text
13,video
19,all
17,text
19,text
13,text
1,video
0,text
0,text
19,text_video
5,text
16,all
0,text
12,text
14,text
18,text
13,text
0,text
12,text
2,text
4,text
3,text
0,text_audio
12,text
15,text
6,all
0,audio
12,text
6,text_audio
13,text
1,text_video
18,text
7,all
3,text
12,all
15,all
12,all
0,audio
13,text
5,text_audio
0,audio
5,text
4,text
12,video
17,text
4,all
18,text
0,text
1,text_audio
6,audio_video
14,text
1,text
2,text
2,text
13,text
10,text
0,text
0,text
12,audio
19,text
2,text
10,text
0,text_audio
2,text
0,all
16,text
14,text_video
11,text
6,all
7,text
0,video
4,all
2,text
11,text
2,text
12,text
0,text
4,text
7,text_audio
0,text
16,text
17,text
12,text
1,text
0,text
17,all
7,all
0,text
3,text
12,text
19,all
13,text
11,text
12,text
13,text
11,text
1,text
0,text
6,all
16,text
0,audio
12,video
8,all
6,text
1,text
2,text
6,all
3,text
13,text
1,text
9,all
15,all
0,text
10,all
1,text
1,text
12,text
0,text
17,text
16,text
17,text
12,text
2,text
4,text
